id,A4-A4au-A4dw-A4ab-A4cu-A4av,A4-A4dr-A4au,A4-A4dt-A4dv-A4du-A4dr,B19-B19ai-B19x-B19an,B19-B19ai-B19x-B19al,B19-B19ai-B19x-B19bl,C1-C1c-C1b-C1al-C42.2-C1bh-C1br,C47a-C42.2-C47e-C44-C47-C42dp,C3-C3lp,C1-C1b-C1c-C42.2-C1bh-C1br-C3-C1cb,C3-C3lp-C3cl,C1/C1c-C1al-C1b-C42.2,C1-C1c-C1am-C1ao-C1an-C1b-C3cm,C45a-C42.2-C45m-C44i-C45n-C44j-C42ev-C44-C42fb,C1/C3-C1c-C1b-C42.2-C1bh,C1-C1c-C1b-C42.2-C1bh-C72k-C1br-C1cb,C42.2/C45a-C44j-C42ev-C42df,D1-D4-D4c-D1c-D1k-D2,D1-D4-D4c-D17d-D1c-D1r-D17c-D17e-D17j,D1-D4-D4c-D1c-D2-D1k-D17d,D1/D1ih-D4-D4c-D1c-D2,D1-D4-D4c-D1c-D17d-D1r-D17c-D17e
F08,0,0,0,0,0,0,5192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G06,0,0,0,0,0,0,11194,0,0,0,0,0,0,0,0,0,0,0,560,0,0,0
F11,0,0,0,0,0,0,3166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G03,0,0,0,0,0,0,7469,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0
A03,0,0,0,0,0,0,0,21825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A12,0,0,0,0,0,0,0,15192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A06,0,0,0,0,0,0,0,14598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A09,0,0,0,0,0,0,0,15430,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A05,0,0,0,0,0,0,0,12387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A11,0,0,0,0,0,0,0,7217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A04,0,0,0,0,0,0,0,9348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D09,0,0,0,0,0,0,0,0,17509,0,0,0,0,0,0,0,0,0,0,0,0,0
E04,0,0,0,0,0,0,0,0,24149,0,0,0,0,0,0,0,0,0,0,0,0,0
D11,0,0,0,0,0,0,0,0,4114,0,0,0,0,0,0,0,0,0,0,0,0,0
E05,0,0,0,0,0,0,0,0,18479,0,0,0,0,0,0,0,0,0,0,0,0,0
E02,0,0,0,0,0,0,0,0,9466,0,0,0,0,0,0,0,0,0,1783,0,0,0
E06,0,0,0,0,0,0,0,0,7812,0,0,0,0,0,0,0,0,0,4110,0,0,0
E10,0,0,0,0,0,0,0,0,0,3793,0,0,0,0,0,0,0,0,1097,0,0,0
E03,0,0,0,0,0,0,0,0,0,0,5003,0,0,0,0,0,0,0,0,0,0,3420
D08,0,0,0,0,0,0,0,0,0,0,3292,0,0,0,0,0,0,0,0,3227,0,0
A10,0,0,14015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B03,0,0,10531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B04,0,0,22765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B06,0,0,22263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,0,0,0,0,12685,0
H02,0,0,0,0,0,0,0,0,0,0,0,0,1265,0,0,0,0,0,0,0,4956,0
A02,0,0,0,0,0,0,0,0,0,0,0,0,0,15341,0,0,0,0,0,0,0,0
A07,0,0,0,0,0,0,0,0,0,0,0,0,0,8645,0,0,0,0,0,0,0,0
B01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6667,0,0,0,0,1185,0,0
G11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5755,0,0,0,0,0,0
A08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7139,0,0,0,0,0
H07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
