Clade,Genus,ITS2 Type
D,Durusdinium,D17k
D,Durusdinium,D5m
D,Durusdinium,D1ox
D,Durusdinium,D17j
D,Durusdinium,D1mx
D,Durusdinium,D1iu
D,Durusdinium,D4ax
D,Durusdinium,2581_D
D,Durusdinium,D4bj
D,Durusdinium,66235_D
D,Durusdinium,D17l
D,Durusdinium,D17s
D,Durusdinium,D4j
D,Durusdinium,D17i
